time_elapsed,valve_V1,valve_V2,valve_V3,furnaceTempSp,furnaceTemp,columnPres,columnLevel,defect_pump_fail,defect_coil_overheat,defect_valve_jam,accident_risk,status
1,1,0,1,280.0,269.06,0.332,50.22,0,0,0,8.89,running
2,1,0,1,280.0,259.66,0.403,50.43,0,0,0,28.61,running
3,1,0,1,280.0,251.14,0.465,50.62,0,0,0,45.83,running
4,1,0,1,280.0,243.7,0.517,50.85,0,0,0,60.28,accident
1,1,0,1,284.4,269.51,0.334,50.23,0,0,0,9.44,running
2,1,0,1,284.4,260.03,0.406,50.45,0,0,0,29.44,running
3,1,0,1,284.4,252.07,0.47,50.65,0,0,0,47.22,running
4,1,0,1,284.4,245.08,0.524,50.84,0,0,0,62.22,accident
1,1,0,1,280.0,269.11,0.333,50.22,0,0,0,9.17,running
2,1,0,1,280.0,259.64,0.406,50.42,0,0,0,29.44,running
3,1,0,1,280.0,251.29,0.468,50.64,0,0,0,46.67,running
4,1,0,1,280.0,244.03,0.522,50.85,0,0,0,61.67,accident
1,1,0,1,280.0,268.91,0.333,50.2,0,0,0,9.17,running
2,1,0,1,280.0,259.22,0.405,50.41,0,0,0,29.17,running
3,1,0,1,280.0,251.06,0.468,50.63,0,0,0,46.67,running
4,1,0,1,280.0,243.98,0.521,50.82,0,0,0,61.39,accident
1,1,0,1,280.0,269.04,0.333,50.19,0,0,0,9.17,running
2,1,0,1,280.0,259.41,0.404,50.41,0,0,0,28.89,running
3,1,0,1,280.0,251.22,0.465,50.62,0,0,0,45.83,running
4,1,0,1,280.0,244.15,0.519,50.82,0,0,0,60.83,accident
1,1,0,1,280.0,269.12,0.333,50.19,0,0,0,9.17,running
2,1,0,1,280.0,259.6,0.405,50.4,0,0,0,29.17,running
3,1,0,1,280.0,251.1,0.467,50.61,0,0,0,46.39,running
4,1,0,1,280.0,243.7,0.519,50.8,0,0,0,60.83,accident
1,1,0,1,280.0,269.06,0.333,50.23,0,0,0,9.17,running
2,1,0,1,280.0,259.54,0.404,50.45,0,0,0,28.89,running
3,1,0,1,280.0,251.0,0.465,50.66,0,0,0,45.83,running
4,1,0,1,280.0,243.77,0.518,50.85,0,0,0,60.56,accident
1,1,0,1,280.0,268.86,0.333,50.19,0,0,0,9.17,running
2,1,0,1,280.0,259.26,0.405,50.38,0,0,0,29.17,running
3,1,0,1,280.0,251.12,0.466,50.61,0,0,0,46.11,running
4,1,0,1,280.0,243.79,0.519,50.84,0,0,0,60.83,accident
1,1,0,1,280.0,268.96,0.333,50.2,0,0,0,9.17,running
2,1,0,1,280.0,259.49,0.404,50.41,0,0,0,28.89,running
3,1,0,1,280.0,251.13,0.466,50.63,0,0,0,46.11,running
4,1,0,1,280.0,243.95,0.519,50.83,0,0,0,60.83,accident
1,1,0,0,150.0,145.32,0.251,50.62,0,0,0,0.0,running
2,1,0,0,150.0,141.5,0.251,51.22,0,0,0,0.0,running
3,1,0,0,150.0,138.07,0.252,51.83,0,0,0,0.0,running
4,1,0,0,150.0,135.0,0.253,52.44,0,0,0,0.0,running
5,1,0,0,150.0,132.31,0.254,53.04,0,0,0,0.0,running
6,1,0,0,150.0,129.95,0.257,53.64,0,0,0,0.0,running
7,1,0,0,150.0,127.94,0.259,54.23,0,0,0,0.0,running
8,1,0,0,150.0,126.48,0.262,54.85,0,0,0,0.0,running
9,1,0,0,150.0,124.97,0.266,55.43,0,0,0,0.0,running
10,1,0,0,150.0,123.88,0.27,56.03,0,0,0,0.0,running
11,1,0,0,150.0,122.78,0.275,56.62,0,0,0,0.0,running
12,1,0,0,150.0,121.77,0.28,57.23,0,0,0,0.0,running
13,1,0,0,150.0,121.1,0.285,57.81,0,0,0,0.0,running
14,1,0,0,150.0,120.24,0.291,58.43,0,0,0,0.0,running
15,1,0,0,150.0,119.76,0.296,59.05,0,0,0,0.0,running
16,1,0,0,150.0,119.04,0.301,59.66,0,0,0,0.28,running
17,1,0,0,150.0,118.69,0.307,60.28,0,0,0,1.94,running
18,1,0,0,150.0,118.45,0.313,60.86,0,0,0,3.61,running
19,1,0,0,150.0,117.95,0.321,61.48,0,0,0,5.83,running
20,1,0,0,150.0,117.52,0.328,62.06,0,0,0,7.78,running
21,1,0,1,220.0,122.7,0.336,62.21,0,0,0,10.0,running
22,1,0,1,220.0,127.41,0.343,62.38,0,0,0,11.94,running
23,1,0,1,220.0,131.53,0.35,62.56,0,0,0,13.89,running
24,1,0,1,220.0,134.83,0.357,62.72,0,0,0,15.83,running
25,1,0,1,220.0,137.78,0.365,62.89,0,0,0,18.06,running
26,1,0,1,220.0,140.6,0.374,63.07,0,0,0,20.56,running
27,1,0,1,220.0,142.75,0.381,63.24,0,0,0,22.5,running
28,1,0,1,220.0,144.94,0.39,63.41,0,0,0,25.0,running
29,1,0,1,220.0,146.79,0.398,63.55,0,0,0,27.22,running
30,1,0,1,220.0,148.34,0.407,63.7,0,0,0,29.72,running
31,1,0,1,220.0,149.55,0.414,63.84,0,0,0,31.67,running
32,1,0,1,220.0,150.65,0.423,63.98,0,0,0,34.17,running
33,1,0,1,220.0,151.51,0.431,64.14,0,0,0,36.39,running
34,1,0,1,220.0,152.35,0.439,64.31,0,0,0,38.61,running
35,1,0,1,220.0,153.2,0.448,64.46,0,0,0,41.11,running
36,1,0,1,220.0,154.02,0.456,64.6,0,0,0,43.33,running
37,1,0,1,220.0,154.44,0.464,64.74,0,0,0,45.56,running
38,1,0,1,220.0,155.05,0.474,64.9,0,0,0,48.33,running
39,1,0,1,220.0,155.31,0.484,65.07,0,0,0,51.11,accident
1,1,0,1,280.0,268.87,0.333,50.2,0,0,0,9.17,running
2,1,0,1,280.0,259.14,0.405,50.39,0,0,0,29.17,running
3,1,0,1,280.0,250.88,0.465,50.6,0,0,0,45.83,running
4,1,0,1,280.0,243.67,0.517,50.83,0,0,0,60.28,accident
1,1,0,1,280.0,268.93,0.333,50.22,0,0,0,9.17,running
2,1,0,1,280.0,259.47,0.405,50.41,0,0,0,29.17,running
3,1,0,1,280.0,251.1,0.467,50.64,0,0,0,46.39,running
4,1,0,1,280.0,244.03,0.521,50.85,0,0,0,61.39,accident
1,1,0,1,290.0,269.71,0.333,50.21,0,0,0,9.17,running
2,1,0,1,290.0,260.72,0.406,50.41,0,0,0,29.44,running
3,1,0,1,290.0,253.18,0.471,50.61,0,0,0,47.5,running
4,1,0,1,290.0,246.37,0.528,50.81,0,0,0,63.33,accident
1,1,0,1,280.0,269.15,0.334,50.21,0,0,0,9.44,running
2,1,0,1,280.0,259.73,0.406,50.41,0,0,0,29.44,running
3,1,0,1,280.0,251.31,0.468,50.61,0,0,0,46.67,running
4,1,0,1,280.0,244.09,0.521,50.81,0,0,0,61.39,accident
1,1,0,1,289.6,269.87,0.335,50.21,0,0,0,9.72,running
2,1,0,1,289.6,260.79,0.409,50.41,0,0,0,30.28,running
3,1,0,1,289.6,253.24,0.474,50.63,0,0,0,48.33,running
4,1,0,1,289.6,246.55,0.531,50.85,0,0,0,64.17,accident
1,1,0,1,280.0,269.12,0.333,50.22,0,0,0,9.17,running
2,1,0,1,280.0,259.37,0.405,50.42,0,0,0,29.17,running
3,1,0,1,280.0,251.02,0.466,50.63,0,0,0,46.11,running
4,1,0,1,280.0,243.9,0.519,50.84,0,0,0,60.83,accident
1,1,0,1,280.0,268.96,0.332,50.21,0,0,0,8.89,running
2,1,0,1,280.0,259.25,0.403,50.41,0,0,0,28.61,running
3,1,0,1,280.0,251.07,0.465,50.63,0,0,0,45.83,running
4,1,0,1,280.0,243.7,0.517,50.86,0,0,0,60.28,accident
1,1,0,1,280.0,269.14,0.334,50.19,0,0,0,9.44,running
2,1,0,1,280.0,259.65,0.407,50.38,0,0,0,29.72,running
3,1,0,1,280.0,251.24,0.468,50.58,0,0,0,46.67,running
4,1,0,1,280.0,243.79,0.521,50.77,0,0,0,61.39,accident
1,1,0,1,280.0,269.04,0.333,50.21,0,0,0,9.17,running
2,1,0,1,280.0,259.53,0.406,50.41,0,0,0,29.44,running
3,1,0,1,280.0,251.16,0.467,50.62,0,0,0,46.39,running
4,1,0,1,280.0,243.74,0.521,50.83,0,0,0,61.39,accident
1,1,0,1,273.4,268.66,0.333,50.22,0,0,0,9.17,running
2,1,0,1,273.4,258.41,0.404,50.41,0,0,0,28.89,running
3,1,0,1,273.4,249.6,0.464,50.6,0,0,0,45.56,running
4,1,0,1,273.4,242.08,0.515,50.8,0,0,0,59.72,accident
1,1,0,1,280.0,269.12,0.333,50.21,0,0,0,9.17,running
2,1,0,1,280.0,259.65,0.404,50.4,0,0,0,28.89,running
3,1,0,1,280.0,251.14,0.466,50.61,0,0,0,46.11,running
4,1,0,1,280.0,244.01,0.52,50.8,0,0,0,61.11,accident
1,1,0,0,150.0,145.6,0.25,50.62,0,0,0,0.0,running
2,1,0,0,150.0,141.53,0.251,51.23,0,0,0,0.0,running
3,1,0,0,150.0,138.25,0.252,51.83,0,0,0,0.0,running
4,1,0,0,150.0,135.16,0.253,52.41,0,0,0,0.0,running
5,1,0,0,150.0,132.68,0.255,53.03,0,0,0,0.0,running
6,1,0,0,150.0,130.61,0.257,53.62,0,0,0,0.0,running
7,1,0,0,150.0,128.44,0.26,54.2,0,0,0,0.0,running
8,1,0,0,150.0,126.76,0.263,54.78,0,0,0,0.0,running
9,1,0,0,150.0,125.2,0.266,55.37,0,0,0,0.0,running
10,1,0,0,150.0,123.85,0.269,55.99,0,0,0,0.0,running
11,1,0,0,150.0,122.9,0.273,56.57,0,0,0,0.0,running
12,1,0,0,150.0,121.91,0.278,57.16,0,0,0,0.0,running
13,1,0,0,150.0,121.12,0.283,57.76,0,0,0,0.0,running
14,1,0,0,150.0,120.21,0.289,58.36,0,0,0,0.0,running
15,1,0,0,150.0,119.71,0.295,58.95,0,0,0,0.0,running
16,1,0,0,150.0,119.05,0.301,59.55,0,0,0,0.28,running
17,1,0,0,150.0,118.49,0.307,60.15,0,0,0,1.94,running
18,1,0,0,150.0,118.26,0.314,60.76,0,0,0,3.89,running
19,1,0,0,150.0,118.04,0.321,61.37,0,0,0,5.83,running
20,1,0,0,150.0,117.59,0.328,61.95,0,0,0,7.78,running
21,1,0,1,220.0,122.78,0.334,62.13,0,0,0,9.44,running
22,1,0,1,220.0,127.54,0.342,62.29,0,0,0,11.67,running
23,1,0,1,220.0,131.67,0.35,62.43,0,0,0,13.89,running
24,1,0,1,220.0,135.32,0.358,62.59,0,0,0,16.11,running
25,1,0,1,220.0,138.22,0.366,62.73,0,0,0,18.33,running
26,1,0,1,220.0,140.89,0.373,62.88,0,0,0,20.28,running
27,1,0,1,220.0,143.31,0.382,63.04,0,0,0,22.78,running
28,1,0,1,220.0,145.34,0.39,63.18,0,0,0,25.0,running
29,1,0,1,220.0,146.95,0.397,63.35,0,0,0,26.94,running
30,1,0,1,220.0,148.51,0.405,63.53,0,0,0,29.17,running
31,1,0,1,220.0,149.69,0.413,63.71,0,0,0,31.39,running
32,1,0,1,220.0,151.03,0.421,63.88,0,0,0,33.61,running
33,1,0,1,220.0,151.82,0.429,64.04,0,0,0,35.83,running
34,1,0,1,220.0,152.56,0.437,64.22,0,0,0,38.06,running
35,1,0,1,220.0,153.38,0.445,64.4,0,0,0,40.28,running
36,1,0,1,220.0,153.98,0.453,64.58,0,0,0,42.5,running
37,1,0,1,220.0,154.42,0.462,64.75,0,0,0,45.0,running
38,1,0,1,220.0,155.09,0.47,64.93,0,0,0,47.22,running
39,1,0,1,220.0,155.36,0.48,65.07,0,0,0,50.0,running
40,1,0,1,220.0,155.7,0.49,65.22,0,0,0,52.78,accident
1,1,0,1,280.0,269.13,0.334,50.22,0,0,0,9.44,running
2,1,0,1,280.0,259.69,0.405,50.43,0,0,0,29.17,running
3,1,0,1,280.0,251.37,0.467,50.63,0,0,0,46.39,running
4,1,0,1,280.0,244.15,0.521,50.85,0,0,0,61.39,accident
1,1,0,1,280.0,269.09,0.332,50.22,0,0,0,8.89,running
2,1,0,1,280.0,259.66,0.403,50.45,0,0,0,28.61,running
3,1,0,1,280.0,251.16,0.466,50.64,0,0,0,46.11,running
4,1,0,1,280.0,243.73,0.52,50.85,0,0,0,61.11,accident
1,1,0,0,150.0,145.44,0.251,50.62,0,0,0,0.0,running
2,1,0,0,150.0,141.4,0.252,51.21,0,0,0,0.0,running
3,1,0,0,150.0,137.85,0.254,51.79,0,0,0,0.0,running
4,1,0,0,150.0,134.74,0.256,52.41,0,0,0,0.0,running
5,1,0,0,150.0,132.3,0.258,53.01,0,0,0,0.0,running
6,1,0,0,150.0,129.99,0.26,53.6,0,0,0,0.0,running
7,1,0,0,150.0,127.93,0.263,54.2,0,0,0,0.0,running
8,1,0,0,150.0,126.46,0.266,54.82,0,0,0,0.0,running
9,1,0,0,150.0,125.17,0.27,55.44,0,0,0,0.0,running
10,1,0,0,150.0,123.89,0.273,56.05,0,0,0,0.0,running
11,1,0,0,150.0,122.62,0.276,56.64,0,0,0,0.0,running
12,1,0,0,150.0,121.52,0.28,57.24,0,0,0,0.0,running
13,1,0,0,150.0,120.73,0.284,57.82,0,0,0,0.0,running
14,1,0,0,150.0,119.98,0.289,58.41,0,0,0,0.0,running
15,1,0,0,150.0,119.42,0.294,58.99,0,0,0,0.0,running
